index:4846	label:pos	pred:neg	pred_prob: 1.00 vs 0.00
this is the 3 copy version of norton av . ( one cd will create three copies ) i purchased it to save money as it was less than $20 per copy . i bought it to replace nav 2006 on the same three computers which had expired . installed easily on two machines . just the uninstall of 2006 and the install of 2007. the first machine was more difficult . there is evidently some conflicting software on the computer as i had to use msconfig for a " clean boot " per norton web site instructions . i kept running into the " blue screen of death " on the previous installs when i would get to the actual install of the norton av . each time i would have to uninstall the program and do more . but all of the help came from the symantec ( norton ) website . it is now working fine . added : my personal preference is to not use software firewalls . i use a router with nat as a hardware firewall . ( it only blocks unauthorized incoming malware ) software firewalls try to tell you about everything leaving your computer and generally you either become paranoid or just shut the thing off . they are intended to look for malware by behavior . antivirus programs look for malware by signature . the only advantage to finding malware by behavior is if the computer is attacked in the first day or two of the malware 's existence . if one has an antivirus program it will eventually ( within a few days ) find the problem that the software firewall was trying to tell someone about . ( assuming they have n't given up yet with too many cries for wolf ) . so the only software firewall i have ( microsoft os firewall ) is turned off and thus i have n't had the same problem as others report . as a practice i sent junk email directly to the trash can and avoid weird websites . so far no problems with malware .

Feature words extracted from documents and frequency that they appeared in neg/pos documents in training:
Sorted according to maximum relative difference between P(word | label)
             word  freq in doc  freq in neg docs  freq in pos docs
459             how            1               978               873
460          before            1               559               500
461         letters            2                17                19
462        position            1                35                39
463             who            7              1223              1358
464            knew            1                82                91
465            born            1                37                41
466              co            1                28                31
467              re            2               530               479
468        interest            1                84                76
469        language            1               116               128
470           above            1                88                97
471              it            3             12805             11629
472            full            1               240               264
473           about            3              1881              1712
474             due            2               112               102
475            down            1               461               420
476             per            1                57                52
477            less            2               288               263
478       attention            1                74                81
479              in           43              7861              8604
480       following            1                53                58
481              is            5             10782             11796
482             way            1               797               729
483              to           37             17142             15686
484         science            1                54                59
485             new           10               778               850
486      experiment            1                11                12
487            ruin            1                12                11
488      university            2                12                11
489             boy            1                89                97
490           which            5              1310              1203
491           given            2               161               148
492           three            2               261               240
493              an            5              1910              2076
494           first            2              1005              1092
495             put            3               381               351
496         program            2               415               450
497            used            1               629               682
498       beginning            1               104                96
499            bias            1                12                13
500              up            1              1509              1395
501       potential            1                40                37
502            with            7              4999              5398
503            here            1               543               503
504           local            1                68                63
505         applied            1                13                14
506            been            1              1038               966
507            year            1               375               349
508       currently            1                27                29
509            have            5              4311              4016
510           right            1               411               383
511           signs            1                15                14
512               s           15              5094              5447
513            this            3              9854              9231
514              of           41             13280             14141
515       education            1                16                17
516         getting            2               275               259
517             you           10              5542              5872
518               y            1                18                17
519              on           20              4756              4494
520        children            1               155               164
521               a           40             15218             16073
522           times            1               397               376
523        bathroom            1                19                18
524       describes            1                18                19
525           enemy            2                18                19
526             saw            1               152               160
527             for           11              6169              6493
528             see            2               725               689
529           under            2               166               158
530            many            4               778               817
531              go            2               573               546
532           earth            2                61                64
533           began            2                45                43
534           march            2                22                23
535            came            1               254               243
536              at            5              2284              2188
537           where            1               493               473
538            from            6              2240              2332
539            than            4              1288              1238
540           other            2              1183              1141
541           drive            1               119               115
542           think            1               644               623
543           while            1               538               555
544             two            5               708               687
545              my            1              3662              3771
546              we            1              1042              1013
547             all            2              2566              2496
548         himself            2               110               107
549         looking            2               308               300
550            york            8                39                38
551          itself            1               142               139
552           point            1               296               290
553           these            2               874               892
554          pretty            1               294               300
555             one            7              2703              2757
556           whose            1                53                52
557          states            3                58                57
558          second            1               252               256
559          others            1               209               212
560              he           32              1830              1805
561              by            5              1819              1842
562            your            2              1413              1396
563            time            4              1390              1406
564            will            3              1519              1507
565             the           76             33204             33454
566      experience            1               169               170
567             now            1               772               769
568             are            4              3589              3599
569           since            1               444               443
570            some            1              1439              1436
571         airline            1                 1                 1
572           avery            1                 1                 1
573         borders            1                12                12
574          caller            6                 1                 1
575        campaign            1                13                13
576             com            1                57                57
577         critics            1                23                23
578            dean            1                 8                 8
579             gay            3                20                20
580         hannity            1                 2                 2
581           herbs            1                 2                 2
582        houghton            1                 1                 1
583          jewish            1                23                23
584      journalism            1                 2                 2
585      liberalism            2                 1                 1
586       listeners            1                13                13
587             mid            1                34                34
588        national            2                16                16
589        profiles            1                 1                 1
590     referencing            1                 1                 1
591           smear            1                 1                 1
======================================================================================================

index:1836	label:neg	pred:pos	pred_prob: 0.00 vs 1.00
the literature of september 11 is never attacked . when a book speaks of september 11 ( or of terrorism in general ) , it is more or less guaranteed immunity from criticism ; it will almost inescapably be greeted with sympathy . jonathan safran foer 's extremely loud and incredibly close banks on such sympathy , on such reverence . the narrative , which concerns a nine-year-old boy named oskar schell in search of a key that would unlock / unshell the enigma of his dead father ( a narrative stolen , in its basic outline , from guenther grass 's die blechtrommel ) , could have been written entirely without its scattered references to the terrorist interventions . nor is this trauma the only one presented in the novel : the others include hiroshima / nagasaki , the staten island ferry crash , and the dresden bombings . each disaster is generalized to the point at which what is addressed is not a traumatizing event in its specificity , but historical " trauma " itself and the overcoming of trauma through bereavement-inspired creation . oskar , the insufferable brat , attempts to complete the work of mourning for his father , thomas schell , jr. , a victim of september 11 , by compiling an almanac of self-inflicted wounds , the collage of images and letters which is the book we are " reading " - --an almanac which , most likely , is written sometime in the indefinite future ( thomas shell , sr. 's manuscript of 4 / 12 / 78 is heavily edited ( pp . 208-216 ) . who has done the editing ? almost certainly an older version of his grandson oskar ) . if the term , " reading " even applies . whenever a " pregnant " image is described , foer literally re-presents it in the form of a pictorial image . when a flock of birds rises into the sky , it is not enough that we read of these birds- --we must see them as well . words may not be left in their invisibility ; we are presented with supplementary photographs , illustrations , since mere verbality is not enough . ( indeed , the entire novel oozes with misologos - - - the mistrust or hatred of language - - - in terms of both its content and its form . ) photographs , yes , and also a superabundance of blank pages and nearly blank pages . space is not used in the manner it is in the works of edmond jabes , for instance . typography does not substitute for a well-wrought sentence . foer abrogates himself of all responsibilities - - - most specifically , the responsibility to write well . why bother when the pyrotechnics of typography are at his disposal ? as far as the writing is concerned , it is composed of nothing other than mind-numbingly , soul-deadeningly repetitive phrases ( " heavy boots , " " raison d'etre , " etc. ) and sunday school platitudes : " sometimes one simply wants to disappear " ( 184 ) ; " there 's nothing wrong with not understanding yourself " ( 184 ) ; " everything that 's born has to die , which means our lives are like skyscrapers " ( 245 ) ; " how can you say i love you to someone you love ? ... it 's always necessary " ( 314 ) . whenever the author writes something that he finds " beautiful " and " true " ( 165 ) , he congratulates himself on his brilliance and tells us that that thing is " beautiful " and " true . " the entire book reeks of such unearned profundity . we also learn that most dust is made up of human detritus- --a very deep truth indeed , one that foer also communicates in his essay , " emptiness " ( originally published in playboy ) with all of the sanctimoniousness and self-righteousness of the faux naif who serves as the center of the novel , a sunday school lecture in which we learn that famous musicians ( ringo star ) and scientists ( stephen hawking ) are unthreateningly approachable : everything is familiarized . perhaps it is wrong to criticize foer for including so many blank pages in extremely loud and incredibly close , since the entire book is a vacuum : null space into which readers may project their own meanings . joseph suglia , ph.d . , the author of watch out

Feature words extracted from documents and frequency that they appeared in neg/pos documents in training:
Sorted according to maximum relative difference between P(word | label)
                 word  freq in doc  freq in neg docs  freq in pos docs
0             almanac            2                 0                 1
1        approachable            1                 0                 1
2            bombings            1                 0                 2
3        communicates            1                 0                 3
4             dresden            1                 0                 1
5           emptiness            1                 3                 0
6                faux            1                 0                 2
7               ferry            1                 0                 8
8            immunity            1                 0                 2
9         inescapably            1                 1                 0
10      interventions            1                 0                 2
11       invisibility            1                 0                 1
12               null            1                 1                 0
13          numbingly            1                 2                 0
14              oozes            1                 0                 1
15         overcoming            1                 0                 2
16         platitudes            1                 0                 2
17                 pp            1                 0                 5
18          reverence            1                 1                 0
19      righteousness            1                 0                 1
20              ringo            1                 0                 2
21        skyscrapers            1                 1                 0
22      supplementary            1                 0                 1
23             trauma            3                 0                10
24            wrought            1                 0                 2
25             edmond            1                10                 1
26          september            3                 1                 8
27               brat            1                 6                 1
28           meanings            1                 1                 6
29         repetitive            1                37                 7
30      illustrations            1                 5                26
31           disposal            1                 5                 1
32              rises            1                 2                 9
33              banks            1                12                 3
34            collage            1                 1                 4
35          compiling            1                 4                 1
36          scattered            1                 8                 2
37           sentence            1                32                 8
38             bother            1                79                20
39           attacked            1                12                 4
40        generalized            1                 3                 1
41           pregnant            1                 9                 3
42            nothing            2               555               189
43             author            2               337               121
44             thomas            2                12                33
45                sky            1                17                46
46              essay            1                 3                 8
47             father            2                43               109
48             enigma            1                 2                 5
49          terrorist            1                 6                15
50             unlock            1                 5                 2
51              crash            1                44                18
52               nine            1                10                24
53           disaster            1                26                11
54          criticize            1                 3                 7
55          terrorism            1                 7                 3
56              write            1               182                78
57           creation            1                10                23
58                nor            1                95                42
59               love            2               439               987
60              blank            3                20                 9
61            hawking            1                11                 5
62              wrong            2               277               128
63          beautiful            2               102               211
64              birds            2                 8                16
65              flock            1                 2                 1
66            greeted            1                 2                 1
67       insufferable            1                 2                 4
68           mourning            1                 2                 1
69            playboy            1                 1                 2
70                 sr            1                 4                 2
71             sunday            2                10                20
72             vacuum            1                 3                 6
73             wounds            1                 1                 2
74           attempts            1                65                33
75           entirely            1                60                31
76           presents            1                14                27
77                why            1               600               326
78                die            2                58                32
79               soul            1                45                81
80            someone            1               274               157
81           composed            1                 7                12
82          presented            2                48                28
83            stephen            1                14                24
84             always            1               250               425
85             entire            3               190               113
86              pages            3               158                94
87              finds            1                30                50
88        photographs            2                15                25
89                not            7              5323              3260
90         references            1                31                19
91             joseph            1                 8                13
92            heavily            1                10                16
93              named            1                30                48
94              lives            1                71               113
95             island            1                21                33
96               star            1               256               163
97               left            1               213               136
98          something            1               518               333
99              could            1              1164               749
100            victim            1                11                17
101              dust            1                35                23
102              deep            1                55                83
103              each            1               252               380
104             learn            2               148               223
105             works            1               295               444
106             would            1              2164              1441
107        brilliance            1                 6                 9
108          jonathan            1                 4                 6
109                ph            1                 3                 2
110             reeks            1                 3                 2
111              well            3               911              1366
112             thing            1               564               379
113              also            3               842              1253
114             human            1                75               111
115              true            2               172               253
116              even            1              1416               963
117              dead            1               113                77
118           outline            1                13                 9
119         including            1               100               143
120           applies            1                 7                10
121             space            2                57                81
122                 d            2               411               290
123          inspired            1                24                34
124         criticism            1                17                24
125                jr            1                14                10
126           writing            1               194               139
127         published            1                23                32
128              work            1               934               674
129              does            1              1457              1060
130            famous            1                43                59
131               key            1                62                85
132     understanding            1                52                71
133          instance            1                34                25
134           general            1                76               103
135            simply            1               237               175
136            center            1                51                38
137              both            1               337               452
138            school            2               132               177
139              what            1              1856              1391
140             grass            1                 8                 6
141           lecture            1                 4                 3
142         certainly            1               106               141
143              made            1               607               466
144               yes            1               117               152
145             never            1               714               554
146           without            1               373               480
147              only            1              1565              1217
148        scientists            1                 7                 9
149          sympathy            2                 9                 7
150               can            1              1444              1844
151                if            1              2660              2084
152      specifically            1                22                28
153            serves            1                19                15
154        everything            2               241               305
155             tells            1                49                62
156               may            2               353               445
157               his            6              1515              1909
158                as            4              3580              4487
159          grandson            1                 4                 5
160           reading            2               332               267
161             there            1              1896              1528
162        literature            1                31                25
163              self            2               125               101
164          yourself            1               147               119
165               own            1               370               456
166                or            3              2429              1973
167               out            1              1983              1615
168              most            3               769               944
169          concerns            1                11                 9
170              very            1              1659              2023
171            likely            1                67                55
172           perhaps            1               146               120
173            edited            1                17                14
174              book            4              1967              1625
175           content            1                58                48
176               but            1              4672              3874
177             image            2               185               223
178        historical            1                65                54
179              mind            1               162               195
180         literally            1                42                35
181              such            3               465               388
182                 i            1             17409             14584
183              must            1               307               366
184            nearly            1                94                79
185             words            1               151               127
186                so            1              2632              2214
187              when            3              1811              1528
188               our            1               330               391
189              that            9              8117              6863
190             event            1                39                33
191            hatred            1                13                11
192              like            1              2228              1887
193            writes            1                28                33
194           include            1                68                80
195                be            2              3157              2688
196         narrative            2                23                27
197          complete            1               149               127
198         concerned            1                35                41
199             basic            1               110                94
200          whenever            2                18                21
201         musicians            1                36                31
202           version            1               553               478
203              them            1              1127               977
204              form            2               100               115
205               has            2              1728              1986
206         addressed            1                 7                 8
207        substitute            1                 8                 7
208           project            1                57                50
209             heavy            1                66                75
210               its            5               712               809
211            enough            2               392               345
212              more            1              1632              1853
213            images            1               133               151
214           readers            1                61                54
215               and           14             16392             18511
216              mere            1                18                16
217        originally            1                40                45
218             shell            1                 9                 8
219            speaks            1                16                18
220              into            2               750               841
221               how            1               978               873
222           letters            1                17                19
223            manner            1                34                38
224         disappear            1                10                 9
225               who            2              1223              1358
226              born            1                37                41
227                re            1               530               479
228             close            2               172               190
229          language            1               116               128
230                it            8             12805             11629
231          sometime            1                11                10
232              term            1                30                33
233             older            1               103               113
234               say            1               555               506
235              less            1               288               263
236                in           15              7861              8604
237                is           21             10782             11796
238             truth            1                70                64
239                to            8             17142             15686
240    responsibility            1                11                12
241            stolen            1                11                12
242               boy            1                89                97
243             which            7              1310              1203
244             novel            3               136               125
245        incredibly            2                50                46
246                an            3              1910              2076
247              used            1               629               682
248                up            1              1509              1395
249            future            1                87                94
250              with            5              4999              5398
251              been            1              1038               966
252              year            1               375               349
253             their            2              1198              1115
254         sometimes            1               135               145
255              have            1              4311              4016
256            indeed            2                46                43
257                 s            6              5094              5447
258              this            1              9854              9231
259                of           28             13280             14141
260             terms            1                51                48
261           written            2               238               224
262         described            1                35                33
263               you            3              5542              5872
264                on            3              4756              4494
265                 a           14             15218             16073
266              done            1               261               275
267               for            4              6169              6493
268               see            1               725               689
269              many            1               778               817
270           phrases            1                20                21
271             wants            1                84                88
272                at            2              2284              2188
273            search            1                73                76
274              from            2              2240              2332
275              than            1              1288              1238
276             watch            1               204               212
277             other            1              1183              1141
278               old            1               455               469
279               etc            1               206               200
280                we            6              1042              1013
281               all            2              2566              2496
282           himself            2               110               107
283              read            1               698               680
284            itself            1               142               139
285             point            1               296               290
286             these            1               874               892
287               one            3              2703              2757
288             means            1               108               110
289         extremely            2               130               128
290           through            1               488               481
291            others            1               209               212
292                he            2              1830              1805
293                by            1              1819              1842
294               far            1               379               375
295              will            1              1519              1507
296               the           35             33204             33454
297            almost            2               319               318
298               are            5              3589              3599
299             since            2               444               443
300             boots            1                 4                 4
301           editing            1                68                68
302        guaranteed            1                 5                 5
303         inflicted            1                 1                 1
304              loud            2                43                43
305        manuscript            1                 1                 1
306         necessary            1                46                46
307  responsibilities            1                 3                 3
308                us            1               335               335
======================================================================================================

index:1197	label:neg	pred:pos	pred_prob: 0.00 vs 1.00
a 130-minute barrage of unrelieved bathos and sentimentality , this swedish import does n't so much insult your intelligence as complacently assume that you never had any in the first place , would n't know what to do with it if you did have it , and in general favor entertainment that bypasses the brain entirely and addresses itself directly to the tear ducts . the plot is of the type commonly described in laudatory reviews as " well-worn , " which seems to be a euphemism for " shop-worn , " " clichï¿½ , " or " stupefyingly unoriginal . " here it is ( spoilers follow ) : daniel , a big-shot conductor in emotional difficulties and poor health , returns to the quaint rural village of his childhood , takes over and revives the local church choir , heals himself and everyone else in sight with his life-affirming yet charmingly diffident zaniness , finds love , finds his inner child , and finally , at the moment of his and his choir 's greatest triumph , croaks . a great director and screenwriter might have been able to conjure some life out of even this forbiddingly stale and schmaltzy program , but kay pollack is n't up to it . instead , in a kind of perverse tour de force of misbegotten inventiveness , he celebrates , embraces , wallows in the schmaltz , throws it at you until it 's dripping off you like oobleck , and somehow keeps finding more reserves of it tucked away in odd little corners of the film . indeed , there 's something horrifyingly impressive about the way this movie gets relentlessly stupider and more bathetic from the first frame to the last : it almost bespeaks a kind of strange talent , albeit of the ed wood variety ; and while watching it i almost suspected a cynical provocation of some kind , as in the kingsley amis story about the poet who , at the end of a long and successful career , publishes a volume of intentional gibberish in order to expose the critical establishment as a passel of clueless poseurs . ( speaking of whom : " as it is in heaven " was nominated for best foreign film at the oscars in 2005 , after being strewn with similar honors in sweden , where it was reportedly seen by some two million viewers . we 're used to this kind of idiocy from the academy , but what 's going on in the country of strindberg and bergman ? has someone been putting something in the kï¿½ttbullar ? ) a standard feature of movies like this ( and books like this , if it comes to that- -cf . ayn rand ) is that characters are presented not as human beings but as representatives of some principle or other that the filmmaker deems important and relevant . aiiih is no exception . the parade of didactic marionettes includes : - - daniel 's love interest , a ditzy twenty-year-old blonde , who represents the life force ; - - the humorless , sexually repressed , hypocritical preacher , who represents the church , which as we all know is a sinister combine bent on stamping out the sex drive and repressing all manifestations of joy and spontaneity , especially in modern scandinavia ; - - the wife-beater whom everybody at first inexplicably tolerates , and then finally locks up and forgives- -who represents violence and what to do about it ; - - the retarded kid whom daniel insists on letting into the choir , chiefly so that he can become the film 's symbol of the virtues of inclusiveness and the deep human wisdom of special people . ( incidentally , it 's about time somebody realized that sentimentalizing retarded people , in movie after movie , as symbols of purity / goodness / wisdom-beyond-the-ken-of-those-cursed-with-normal-intelligence , or whatever , is just as disrespectful and exploitative as making cruel fun of them ; it just seems nicer . ca n't we have a movie that depicts a retarded person as a human being ? the only one i can recall seeing is " best boy , " a documentary about the life of a retarded man that came out about 25 years ago . apart from that they 've been reduced to targets of witless ridicule , as in " there 's something about mary , " or turned into plaster saints as here . ) so , to sum up : save your money and your time , which would be better spent sleeping or watching reruns of " the o.c. " run , do n't walk , from your local art theater if this is the main attraction . and do n't forget the moral of the story , rather comforting to me as an expatriate american living in a europe that preens itself on its superior wisdom and sophistication vis- ï¿½-vis the usa : kitsch is global .

Feature words extracted from documents and frequency that they appeared in neg/pos documents in training:
Sorted according to maximum relative difference between P(word | label)
                word  freq in doc  freq in neg docs  freq in pos docs
0               amis            1                 1                 0
1            barrage            1                 0                 1
2             beater            1                 0                 2
3           bespeaks            1                 1                 0
4         charmingly            1                 0                 1
5         comforting            1                 0                 8
6              deems            1                 2                 0
7           didactic            1                 1                 0
8      disrespectful            1                 3                 0
9              ditzy            1                 0                 1
10         euphemism            1                 2                 0
11        expatriate            1                 0                 1
12             heals            1                 0                 2
13      hypocritical            1                 3                 0
14     inclusiveness            1                 1                 0
15     inventiveness            1                 0                 2
16          kingsley            1                 0                 3
17         laudatory            1                 0                 1
18    manifestations            1                 0                 1
19       marionettes            1                 0                 2
20            passel            1                 0                 1
21         publishes            1                 0                 1
22            quaint            1                 0                 2
23        reportedly            1                 0                 2
24   representatives            1                 2                 0
25          reserves            1                 0                 1
26         schmaltzy            1                 1                 0
27       spontaneity            1                 1                 0
28            sweden            1                 0                 4
29           symbols            1                 0                16
30           targets            1                 0                 4
31               vis            2                 0                 4
32           wallows            1                 3                 0
33          goodness            1                20                 1
34             stale            1                11                 1
35             locks            1                10                 1
36          embraces            1                 1                 8
37           triumph            1                 1                 8
38            purity            1                 1                 7
39        attraction            1                 2                12
40            insult            1                18                 3
41        unoriginal            1                12                 2
42             rural            1                 1                 5
43              poor            1               272                62
44         humorless            1                 4                 1
45         nominated            1                 2                 8
46              poet            1                 8                 2
47           pollack            1                 4                 1
48    sophistication            1                 1                 4
49           corners            1                 3                10
50            blonde            1                12                 4
51          clueless            1                12                 4
52            cursed            1                 3                 1
53       documentary            1                17                51
54         gibberish            1                 3                 1
55      inexplicably            1                 6                 2
56            oscars            1                 1                 3
57          perverse            1                 3                 1
58           swedish            1                 2                 6
59             money            1               677               237
60               joy            1                13                37
61            turned            1               166                59
62              bent            1                14                 5
63              rand            1                11                 4
64              tour            1                14                38
